line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
1,1,P5,,3,11251.35
2,1,P42,,5,21120.9
3,2,P28,,5,22177.3
4,2,P61,,3,12295.53
6,2,P62,,4,19568.48
7,3,P26,3,5,17166.95
8,3,P67,,4,3636.48
9,3,P49,,5,23003.1
10,4,P75,4,3,6165.18
11,5,P69,5,5,15361.55
13,5,P60,2,4,14745.4
14,5,P71,,4,18606.72
15,6,P15,3,3,12958.2
16,6,P63,,3,8130.78
17,6,P50,,5,15174.15
18,6,P38,,1,3833.61
19,6,P44,,2,2149.32
20,6,P60,2,5,18431.75
21,7,P61,1,4,16394.04
22,7,P12,2,5,3889.15
24,8,P69,,5,15361.55
25,9,P38,,5,19168.05
26,9,P56,,5,6366.6
27,9,P35,,1,3638.25
28,10,P16,,4,3395.68
29,11,P58,,5,14400.25
30,11,P28,,2,8870.92
31,12,P10,5,2,3747.56
32,12,P45,,4,7728.72
34,14,P54,,3,14784.21
35,14,P78,,5,22540.55
36,14,P14,,2,7606.66
37,14,P55,2,5,20266.0
38,15,P7,,1,3760.37
39,15,P2,,4,12999.88
40,15,P29,,2,7558.6
41,16,P5,,5,18752.25
42,16,P61,,1,4098.51
43,16,P55,,4,16212.8
44,16,P39,,2,5175.28
45,17,P18,,1,3434.36
46,17,P67,1,5,4545.6
47,17,P18,,1,3434.36
48,18,P32,4,3,4614.45
50,18,P48,4,5,23099.65
51,18,P15,,4,17277.6
52,18,P69,5,4,12289.24
53,18,P48,,1,4619.93
54,19,P52,,1,648.15
55,19,INVALID_P,,5,13470.73
56,20,P60,4,5,18431.75
57,20,P15,,2,8638.8
58,21,P11,,4,19947.6
59,22,P24,,3,8432.43
60,22,P34,,5,579.5
61,22,P72,,2,7601.6
62,23,P55,,2,8106.4
63,23,P43,5,1,2587.55
64,23,P56,,2,2546.64
65,24,P7,1,1,3760.37
66,24,P40,1,5,3107.05
68,24,P15,3,5,21597.0
69,24,P7,3,2,7520.74
70,25,P36,,3,10879.32
71,25,P69,3,5,15361.55
72,26,P26,,4,13733.56
73,26,P63,,1,2710.26
74,27,P31,5,3,5300.58
75,27,P49,,5,23003.1
76,28,P46,,2,1783.18
77,28,P30,,4,15464.52
78,29,P1,2,4,17739.8
79,29,P30,4,4,15464.52
80,30,P22,,2,4786.88
81,30,P36,,2,7252.88
83,31,P21,,4,12079.4
84,31,P32,,3,4614.45
85,32,P52,2,2,1296.3
86,32,P68,4,2,5371.2
87,32,P46,,1,891.59
88,33,P4,4,2,1568.38
89,33,P61,,5,20492.55
90,34,P14,1,2,7606.66
91,34,P13,,2,5036.46
92,35,P70,,5,24126.9
93,35,P66,3,1,4739.56
94,35,P17,,2,1767.82
95,36,P6,4,4,10963.96
96,36,P4,1,1,784.19
97,36,P51,3,2,4988.34
98,36,P67,,2,1818.24
100,36,P55,3,2,8106.4
101,37,P30,,4,154645.2
102,37,INVALID_P,,5,17542.13
104,37,P42,,2,8448.36
105,38,P20,,4,7941.44
106,38,P25,,5,23589.55
107,38,P77,1,1,1929.76
108,39,P76,2,1,3391.27
109,39,P70,,1,4825.38
110,39,P67,,4,3636.48
112,39,P76,,5,16956.35
113,39,P14,,3,11409.99
114,39,P43,,4,10350.2
116,40,P21,,4,12079.4
